ETF Name,Issuer,ISIN,CCY,TER(bps),AUM(M),Date
L&G Multi-Strategy Enhanced Commodities UCITS ETF,L&G,IE00BFXR6159,GBP,30,2560.69,25/06/2026
L&G Multi-Strategy Enhanced Commodities UCITS ETF,L&G,IE00BFXR6159,USD,30,2560.69,25/06/2026
L&G Multi-Strategy Enhanced Commodities UCITS ETF,L&G,IE00BFXR6159,EUR,30,2560.69,25/06/2026
L&G Multi-Strategy Enhanced Commodities UCITS ETF,L&G,IE00BFXR6159,CHF,30,2560.69,25/06/2026
L&G Multi-Strategy Enhanced Commodities UCITS ETF,L&G,IE000IYBMW97,USD,30,2560.69,25/06/2026
L&G Multi-Strategy Enhanced Commodities UCITS ETF,L&G,IE00011CA799,GBP,35,1939.69,25/06/2026
L&G Multi-Strategy Enhanced Commodities UCITS ETF,L&G,IE0004O92CM1,GBP,30,1939.69,25/06/2026
L&G Multi-Strategy Enhanced Commodities UCITS ETF,L&G,IE0006BISQN7,CHF,35,2073.15,25/06/2026
L&G Multi-Strategy Enhanced Commodities UCITS ETF,L&G,IE00022GJEG1,EUR,35,2249.66,25/06/2026
L&G Artificial Intelligence UCITS ETF,L&G,IE00BK5BCD43,GBP,49,1995.52,25/06/2026
L&G Artificial Intelligence UCITS ETF,L&G,IE00BK5BCD43,USD,49,1995.52,25/06/2026
L&G Artificial Intelligence UCITS ETF,L&G,IE00BK5BCD43,EUR,49,1995.52,25/06/2026
L&G Artificial Intelligence UCITS ETF,L&G,IE00BK5BCD43,CHF,49,1995.52,25/06/2026
L&G Artificial Intelligence UCITS ETF,L&G,IE00BK5BCD43,MXN,49,1995.52,25/06/2026
L&G Healthcare Technology & Innovation UCITS ETF,L&G,IE00BK5BC677,GBP,49,250.27,25/06/2026
L&G Healthcare Technology & Innovation UCITS ETF,L&G,IE00BK5BC677,USD,49,250.27,25/06/2026
L&G Healthcare Technology & Innovation UCITS ETF,L&G,IE00BK5BC677,EUR,49,250.27,25/06/2026
L&G Healthcare Technology & Innovation UCITS ETF,L&G,IE00BK5BC677,CHF,49,250.27,25/06/2026
L&G Clean Water UCITS ETF,L&G,IE00BK5BC891,GBP,49,708.23,25/06/2026
L&G Clean Water UCITS ETF,L&G,IE00BK5BC891,USD,49,708.23,25/06/2026
L&G Clean Water UCITS ETF,L&G,IE00BK5BC891,EUR,49,708.23,25/06/2026
L&G Clean Water UCITS ETF,L&G,IE00BK5BC891,CHF,49,708.23,25/06/2026
L&G Clean Water UCITS ETF,L&G,IE00BK5BC891,MXN,49,708.23,25/06/2026
L&G MSCI Europe Select UCITS ETF,L&G,IE00BKLTRN76,EUR,10,438.44,25/06/2026
L&G MSCI Europe Select UCITS ETF,L&G,IE00BKLTRN76,GBP,10,438.44,25/06/2026
L&G MSCI Europe Select UCITS ETF,L&G,IE00BKLTRN76,CHF,10,438.44,25/06/2026
L&G US ESG Paris Aligned UCITS ETF,L&G,IE00BKLWY790,GBP,12,198.94,25/06/2026
L&G US ESG Paris Aligned UCITS ETF,L&G,IE00BKLWY790,USD,12,198.94,25/06/2026
L&G US ESG Paris Aligned UCITS ETF,L&G,IE00BKLWY790,EUR,12,198.94,25/06/2026
L&G US ESG Paris Aligned UCITS ETF,L&G,IE00BKLWY790,CHF,12,198.94,25/06/2026
L&G Clean Energy UCITS ETF,L&G,IE00BK5BCH80,GBP,49,776.2,25/06/2026
L&G Clean Energy UCITS ETF,L&G,IE00BK5BCH80,USD,49,776.2,25/06/2026
L&G Clean Energy UCITS ETF,L&G,IE00BK5BCH80,EUR,49,776.2,25/06/2026
L&G Clean Energy UCITS ETF,L&G,IE00BK5BCH80,CHF,49,776.2,25/06/2026
L&G Clean Energy UCITS ETF,L&G,IE00BK5BCH80,MXN,49,776.2,25/06/2026
L&G UK Gilt 0-5 Year UCITS ETF,L&G,IE00BLRPQK69,GBP,6,268.8,25/06/2026
L&G China CNY Bond UCITS ETF,L&G,IE000F472DU7,EUR,30,92.43,25/06/2026
L&G China CNY Bond UCITS ETF,L&G,IE00BLRPQL76,GBP,30,104.83,25/06/2026
L&G China CNY Bond UCITS ETF,L&G,IE00BLRPQL76,USD,30,104.83,25/06/2026
L&G China CNY Bond UCITS ETF,L&G,IE00BLRPQL76,EUR,30,104.83,25/06/2026
L&G China CNY Bond UCITS ETF,L&G,IE00BLRPQL76,CHF,30,104.83,25/06/2026
L&G GBP Corporate Bond Screened UCITS ETF,L&G,IE00BLRPQM83,GBP,9,151.25,25/06/2026
L&G GBP Corporate Bond 0-5 Year Screened UCITS ETF,L&G,IE00BLRPQN90,GBP,9,99.91,25/06/2026
L&G Emerging Markets Government Bond (USD) 0-5 Year Screened UCITS ETF,L&G,IE00BLRPQP15,GBP,25,1060.09,25/06/2026
L&G Emerging Markets Government Bond (USD) 0-5 Year Screened UCITS ETF,L&G,IE00BLRPQP15,USD,25,1060.09,25/06/2026
L&G Emerging Markets Government Bond (USD) 0-5 Year Screened UCITS ETF,L&G,IE00BLRPQP15,EUR,25,1060.09,25/06/2026
