ETF Name,Issuer,ISIN,CCY,TER(bps),AUM(M),AUM CCY,Date
L&G UK Quality Dividends Equal Weight UCITS ETF,L&G,IE00BMYDM802,GBP,25,76,GBP,07/07/2026
L&G UK Quality Dividends Equal Weight UCITS ETF,L&G,IE00BMYDM802,EUR,25,76,GBP,07/07/2026
L&G APAC ex-Japan Quality Dividends Equal Weight UCITS ETF,L&G,IE00BMYDMB35,GBP,40,55.7,USD,07/07/2026
L&G APAC ex-Japan Quality Dividends Equal Weight UCITS ETF,L&G,IE00BMYDMB35,USD,40,55.7,USD,07/07/2026
L&G APAC ex-Japan Quality Dividends Equal Weight UCITS ETF,L&G,IE00BMYDMB35,EUR,40,55.7,USD,07/07/2026
L&G APAC ex-Japan Quality Dividends Equal Weight UCITS ETF,L&G,IE00BMYDMB35,CHF,40,55.7,USD,07/07/2026
L&G Emerging Markets Quality Dividends Equal Weight UCITS ETF,L&G,IE00BMYDMC42,GBP,45,64.57,USD,07/07/2026
L&G Emerging Markets Quality Dividends Equal Weight UCITS ETF,L&G,IE00BMYDMC42,USD,45,64.57,USD,07/07/2026
L&G Emerging Markets Quality Dividends Equal Weight UCITS ETF,L&G,IE00BMYDMC42,EUR,45,64.57,USD,07/07/2026
L&G Emerging Markets Quality Dividends Equal Weight UCITS ETF,L&G,IE00BMYDMC42,CHF,45,64.57,USD,07/07/2026
L&G Europe ex-UK Quality Dividends Equal Weight UCITS ETF,L&G,IE00BMYDM919,EUR,25,316.4,EUR,07/07/2026
L&G Europe ex-UK Quality Dividends Equal Weight UCITS ETF,L&G,IE00BMYDM919,GBP,25,316.4,EUR,07/07/2026
L&G Europe ex-UK Quality Dividends Equal Weight UCITS ETF,L&G,IE00BMYDM919,CHF,25,316.4,EUR,07/07/2026
L&G Digital Payments UCITS ETF,L&G,IE00BF92J153,GBP,49,9.06,USD,07/07/2026
L&G Digital Payments UCITS ETF,L&G,IE00BF92J153,USD,49,9.06,USD,07/07/2026
L&G Digital Payments UCITS ETF,L&G,IE00BF92J153,EUR,49,9.06,USD,07/07/2026
L&G Digital Payments UCITS ETF,L&G,IE00BF92J153,CHF,49,9.06,USD,07/07/2026
L&G India INR Government Bond UCITS ETF,L&G,IE00BL6K6H97,GBP,39,688.05,USD,07/07/2026
L&G India INR Government Bond UCITS ETF,L&G,IE00BL6K6H97,USD,39,688.05,USD,07/07/2026
L&G India INR Government Bond UCITS ETF,L&G,IE00BL6K6H97,EUR,39,688.05,USD,07/07/2026
L&G India INR Government Bond UCITS ETF,L&G,IE00BL6K6H97,CHF,39,688.05,USD,07/07/2026
L&G India INR Government Bond UCITS ETF,L&G,IE000YSUEJ32,EUR,39,688.05,USD,07/07/2026
L&G Cyber Security Innovation UCITS ETF,L&G,IE000ST40PX8,GBP,49,33.42,USD,07/07/2026
L&G Cyber Security Innovation UCITS ETF,L&G,IE000ST40PX8,USD,49,33.42,USD,07/07/2026
L&G Cyber Security Innovation UCITS ETF,L&G,IE000ST40PX8,EUR,49,33.42,USD,07/07/2026
L&G Cyber Security Innovation UCITS ETF,L&G,IE000ST40PX8,CHF,49,33.42,USD,07/07/2026
L&G Metaverse UCITS ETF,L&G,IE0004U3TX15,GBP,39,20.92,USD,07/07/2026
L&G Metaverse UCITS ETF,L&G,IE0004U3TX15,USD,39,20.92,USD,07/07/2026
L&G Metaverse UCITS ETF,L&G,IE0004U3TX15,EUR,39,20.92,USD,07/07/2026
L&G Metaverse UCITS ETF,L&G,IE0004U3TX15,CHF,39,20.92,USD,07/07/2026
L&G Asia Pacific ex Japan ESG Paris Aligned UCITS ETF,L&G,IE000Z9UVQ99,GBP,16,108.2,USD,07/07/2026
L&G Asia Pacific ex Japan ESG Paris Aligned UCITS ETF,L&G,IE000Z9UVQ99,USD,16,108.2,USD,07/07/2026
L&G Asia Pacific ex Japan ESG Paris Aligned UCITS ETF,L&G,IE000Z9UVQ99,EUR,16,108.2,USD,07/07/2026
L&G Asia Pacific ex Japan ESG Paris Aligned UCITS ETF,L&G,IE000Z9UVQ99,CHF,16,108.2,USD,07/07/2026
L&G Emerging Markets Equity UCITS ETF,L&G,IE000CBYU7J5,EUR,16,151.39,USD,07/07/2026
L&G Emerging Markets Equity UCITS ETF,L&G,IE000CBYU7J5,GBP,16,151.39,USD,07/07/2026
L&G Emerging Markets Equity UCITS ETF,L&G,IE000CBYU7J5,USD,16,151.39,USD,07/07/2026
L&G Gerd Kommer Multifactor Equity UCITS ETF,L&G,IE0001UQQ933,USD,45,1761.06,USD,07/07/2026
L&G Gerd Kommer Multifactor Equity UCITS ETF,L&G,IE0001UQQ933,EUR,45,1761.06,USD,07/07/2026
L&G Gerd Kommer Multifactor Equity UCITS ETF,L&G,IE0001UQQ933,CHF,45,1761.06,USD,07/07/2026
L&G Gerd Kommer Multifactor Equity UCITS ETF,L&G,IE000FPWSL69,EUR,45,1761.06,USD,07/07/2026
L&G Gerd Kommer Multifactor Equity UCITS ETF,L&G,IE000FPWSL69,CHF,45,1761.06,USD,07/07/2026
L&G Global Brands UCITS ETF,L&G,IE0007HKA9K1,GBP,39,48.83,USD,07/07/2026
L&G Global Brands UCITS ETF,L&G,IE0007HKA9K1,USD,39,48.83,USD,07/07/2026
L&G Global Brands UCITS ETF,L&G,IE0007HKA9K1,EUR,39,48.83,USD,07/07/2026
L&G New Energy Commodities UCITS ETF,L&G,IE000BLN64M9,USD,65,13.66,USD,07/07/2026
L&G New Energy Commodities UCITS ETF,L&G,IE000BLN64M9,GBP,65,13.66,USD,07/07/2026
L&G New Energy Commodities UCITS ETF,L&G,IE000BLN64M9,EUR,65,13.66,USD,07/07/2026
L&G Multi-Strategy Enhanced Commodities ex-Agriculture & Livestock UCITS ETF,L&G,IE000MQ5XEW1,USD,30,83.12,USD,07/07/2026
L&G Multi-Strategy Enhanced Commodities ex-Agriculture & Livestock UCITS ETF,L&G,IE000MQ5XEW1,EUR,30,83.12,USD,07/07/2026
L&G Corporate Bond ex-Banks Higher Ratings 0-2Y UCITS ETF,L&G,IE000YMQ2SC9,EUR,15,171.23,EUR,07/07/2026
L&G Corporate Bond ex-Banks Higher Ratings 0-2Y UCITS ETF,L&G,IE000CWS09Q9,GBP,12,195.49,USD,07/07/2026
L&G Corporate Bond ex-Banks Higher Ratings 0-2Y UCITS ETF,L&G,IE000CWS09Q9,USD,12,195.49,USD,07/07/2026
